TStates,Addr,WStates,OpType,IStates
2427,0x800A, ,RN,1
2428,0x800A, ,RN,1
2429,0x800A, ,RN,1
2430,0x800A, ,RN,1
2431,0x800A, ,RN,1
2432,0x8007, ,RR,4
2439,0x8008, ,RR,4
2443,0x8009, ,RR,4
2447,0x3F4A, ,RN,1
2451,0x800A, ,RN,1
2452,0x800A, ,RN,1
2453,0x800A, ,RN,1
2454,0x800A, ,RN,1
2455,0x800A, ,RN,1
2456,0x8007, ,RR,4
2463,0x8008, ,RR,4
2467,0x8009, ,RR,4
2471,0x3F4D, ,RN,1
2475,0x800A, ,RN,1
2476,0x800A, ,RN,1
2477,0x800A, ,RN,1
2478,0x800A, ,RN,1
2479,0x800A, ,RN,1
2480,0x8007, ,RR,4
2487,0x8008, ,RR,4
2491,0x8009, ,RR,4
2495,0x3F50, ,RN,1
2499,0x800A, ,RN,1
2500,0x800A, ,RN,1
2501,0x800A, ,RN,1
2502,0x800A, ,RN,1
2503,0x800A, ,RN,1
2504,0x8007, ,RR,4
2511,0x8008, ,RR,4
2515,0x8009, ,RR,4
2519,0x3F53, ,RN,1
2523,0x800A, ,RN,1
2524,0x800A, ,RN,1
2525,0x800A, ,RN,1
2526,0x800A, ,RN,1
2527,0x800A, ,RN,1
2528,0x8007, ,RR,4
2535,0x8008, ,RR,4
2539,0x8009, ,RR,4
2543,0x3F56, ,RN,1
2547,0x800A, ,RN,1
2548,0x800A, ,RN,1
2549,0x800A, ,RN,1
2550,0x800A, ,RN,1
2551,0x800A, ,RN,1
2552,0x8007, ,RR,4
2559,0x8008, ,RR,4
2563,0x8009, ,RR,4
2567,0x3F59, ,RN,1
2571,0x800A, ,RN,1
2572,0x800A, ,RN,1
2573,0x800A, ,RN,1
2574,0x800A, ,RN,1
2575,0x800A, ,RN,1
2576,0x8007, ,RR,4
2583,0x8008, ,RR,4
2587,0x8009, ,RR,4
2591,0x3F5C, ,RN,1
2595,0x800A, ,RN,1
2596,0x800A, ,RN,1
2597,0x800A, ,RN,1
2598,0x800A, ,RN,1
2599,0x800A, ,RN,1
2600,0x8007, ,RR,4
2607,0x8008, ,RR,4
2611,0x8009, ,RR,4
2615,0x3F5F, ,RN,1
2619,0x800A, ,RN,1
2620,0x800A, ,RN,1
2621,0x800A, ,RN,1
2622,0x800A, ,RN,1
2623,0x800A, ,RN,1
2624,0x8007, ,RR,4
2631,0x8008, ,RR,4
2635,0x8009, ,RR,4
2639,0x3F62, ,RN,1
2640,0x800A, ,RR,3
2643,0x800B, ,RR,4
2647,0x800C, ,RR,4
2657,0x8005, ,RR,4
2664,0x8007, ,RR,4
2671,0x8008, ,RR,4
2675,0x8009, ,RR,4
2679,0x3F68, ,RN,1
2683,0x800A, ,RN,1
2684,0x800A, ,RN,1
2685,0x800A, ,RN,1
2686,0x800A, ,RN,1
2687,0x800A, ,RN,1
2688,0x8007, ,RR,4
2695,0x8008, ,RR,4
2699,0x8009, ,RR,4
2703,0x3F6B, ,RN,1
2707,0x800A, ,RN,1
2708,0x800A, ,RN,1
2709,0x800A, ,RN,1
2710,0x800A, ,RN,1
2711,0x800A, ,RN,1
2712,0x8007, ,RR,4
2719,0x8008, ,RR,4
2723,0x8009, ,RR,4
2727,0x3F6E, ,RN,1
2731,0x800A, ,RN,1
2732,0x800A, ,RN,1
2733,0x800A, ,RN,1
2734,0x800A, ,RN,1
2735,0x800A, ,RN,1
2736,0x8007, ,RR,4
2743,0x8008, ,RR,4
2747,0x8009, ,RR,4
2751,0x3F71, ,RN,1
2755,0x800A, ,RN,1
2756,0x800A, ,RN,1
2757,0x800A, ,RN,1
2758,0x800A, ,RN,1
2759,0x800A, ,RN,1
2760,0x8007, ,RR,4
2767,0x8008, ,RR,4
2771,0x8009, ,RR,4
2775,0x3F74, ,RN,1
2779,0x800A, ,RN,1
2780,0x800A, ,RN,1
2781,0x800A, ,RN,1
2782,0x800A, ,RN,1
2783,0x800A, ,RN,1
2784,0x8007, ,RR,4
2791,0x8008, ,RR,4
2795,0x8009, ,RR,4
2799,0x3F77, ,RN,1
2803,0x800A, ,RN,1
2804,0x800A, ,RN,1
2805,0x800A, ,RN,1
2806,0x800A, ,RN,1
2807,0x800A, ,RN,1
2808,0x8007, ,RR,4
2815,0x8008, ,RR,4
2819,0x8009, ,RR,4
2823,0x3F7A, ,RN,1
2827,0x800A, ,RN,1
2828,0x800A, ,RN,1
2829,0x800A, ,RN,1
2830,0x800A, ,RN,1
2831,0x800A, ,RN,1
2832,0x8007, ,RR,4
2839,0x8008, ,RR,4
2843,0x8009, ,RR,4
2847,0x3F7D, ,RN,1
2851,0x800A, ,RN,1
2852,0x800A, ,RN,1
2853,0x800A, ,RN,1
2854,0x800A, ,RN,1
2855,0x800A, ,RN,1
2856,0x8007, ,RR,4
2863,0x8008, ,RR,4
2867,0x8009, ,RR,4
2871,0x3F00, ,RN,1
2875,0x800A, ,RN,1
2876,0x800A, ,RN,1
2877,0x800A, ,RN,1
2878,0x800A, ,RN,1
2879,0x800A, ,RN,1
2880,0x8007, ,RR,4
2887,0x8008, ,RR,4
2891,0x8009, ,RR,4
2895,0x3F03, ,RN,1
2899,0x800A, ,RN,1
2900,0x800A, ,RN,1
2901,0x800A, ,RN,1
2902,0x800A, ,RN,1
2903,0x800A, ,RN,1
2904,0x8007, ,RR,4
2911,0x8008, ,RR,4
2915,0x8009, ,RR,4
2919,0x3F06, ,RN,1
2923,0x800A, ,RN,1
2924,0x800A, ,RN,1
2925,0x800A, ,RN,1
2926,0x800A, ,RN,1
2927,0x800A, ,RN,1
2928,0x8007, ,RR,4
2935,0x8008, ,RR,4
2939,0x8009, ,RR,4
2943,0x3F09, ,RN,1
2947,0x800A, ,RN,1
2948,0x800A, ,RN,1
2949,0x800A, ,RN,1
2950,0x800A, ,RN,1
2951,0x800A, ,RN,1
2952,0x8007, ,RR,4
2959,0x8008, ,RR,4
2963,0x8009, ,RR,4
2967,0x3F0C, ,RN,1
2971,0x800A, ,RN,1
2972,0x800A, ,RN,1
2973,0x800A, ,RN,1
2974,0x800A, ,RN,1
2975,0x800A, ,RN,1
2976,0x8007, ,RR,4
2983,0x8008, ,RR,4
2987,0x8009, ,RR,4
2991,0x3F0F, ,RN,1
2995,0x800A, ,RN,1
2996,0x800A, ,RN,1
2997,0x800A, ,RN,1
2998,0x800A, ,RN,1
2999,0x800A, ,RN,1
3000,0x8007, ,RR,4
3007,0x8008, ,RR,4
3011,0x8009, ,RR,4
3015,0x3F12, ,RN,1
3019,0x800A, ,RN,1
3020,0x800A, ,RN,1
3021,0x800A, ,RN,1
3022,0x800A, ,RN,1
3023,0x800A, ,RN,1
3024,0x8007, ,RR,4
3031,0x8008, ,RR,4
3035,0x8009, ,RR,4
3039,0x3F15, ,RN,1
3043,0x800A, ,RN,1
3044,0x800A, ,RN,1
3045,0x800A, ,RN,1
3046,0x800A, ,RN,1
3047,0x800A, ,RN,1
3048,0x8007, ,RR,4
3055,0x8008, ,RR,4
3059,0x8009, ,RR,4
3063,0x3F18, ,RN,1
3067,0x800A, ,RN,1
3068,0x800A, ,RN,1
3069,0x800A, ,RN,1
3070,0x800A, ,RN,1
3071,0x800A, ,RN,1
3072,0x8007, ,RR,4
3079,0x8008, ,RR,4
3083,0x8009, ,RR,4
3087,0x3F1B, ,RN,1
3091,0x800A, ,RN,1
3092,0x800A, ,RN,1
3093,0x800A, ,RN,1
3094,0x800A, ,RN,1
3095,0x800A, ,RN,1
3096,0x8007, ,RR,4
3103,0x8008, ,RR,4
3107,0x8009, ,RR,4
3111,0x3F1E, ,RN,1
3115,0x800A, ,RN,1
3116,0x800A, ,RN,1
3117,0x800A, ,RN,1
3118,0x800A, ,RN,1
3119,0x800A, ,RN,1
3120,0x8007, ,RR,4
3127,0x8008, ,RR,4
3131,0x8009, ,RR,4
3135,0x3F21, ,RN,1
3139,0x800A, ,RN,1
3140,0x800A, ,RN,1
3141,0x800A, ,RN,1
3142,0x800A, ,RN,1
3143,0x800A, ,RN,1
3144,0x8007, ,RR,4
3151,0x8008, ,RR,4
3155,0x8009, ,RR,4
3159,0x3F24, ,RN,1
3163,0x800A, ,RN,1
3164,0x800A, ,RN,1
3165,0x800A, ,RN,1
3166,0x800A, ,RN,1
3167,0x800A, ,RN,1
3168,0x8007, ,RR,4
