TStates,Addr,WStates,OpType
823,0x4DD9, ,WN
824,0x4DD9, ,WN
833,0x6DDA, ,R
836,0x4DDA, ,W
839,0x4DDA, ,WN
840,0x4DDA, ,WN
841,0x4DDA, ,WN
842,0x4DDA, ,WN
843,0x4DDA, ,WN
844,0x4DDA, ,WN
845,0x4DDA, ,WN
854,0x6DDB, ,R
857,0x4DDB, ,W
860,0x4DDB, ,WN
861,0x4DDB, ,WN
862,0x4DDB, ,WN
863,0x4DDB, ,WN
864,0x4DDB, ,WN
865,0x4DDB, ,WN
866,0x4DDB, ,WN
875,0x6DDC, ,R
878,0x4DDC, ,W
881,0x4DDC, ,WN
882,0x4DDC, ,WN
883,0x4DDC, ,WN
884,0x4DDC, ,WN
885,0x4DDC, ,WN
886,0x4DDC, ,WN
887,0x4DDC, ,WN
896,0x6DDD, ,R
899,0x4DDD, ,W
902,0x4DDD, ,WN
903,0x4DDD, ,WN
904,0x4DDD, ,WN
905,0x4DDD, ,WN
906,0x4DDD, ,WN
907,0x4DDD, ,WN
908,0x4DDD, ,WN
917,0x6DDE, ,R
920,0x4DDE, ,W
923,0x4DDE, ,WN
924,0x4DDE, ,WN
925,0x4DDE, ,WN
926,0x4DDE, ,WN
927,0x4DDE, ,WN
928,0x4DDE, ,WN
929,0x4DDE, ,WN
938,0x6DDF, ,R
941,0x4DDF, ,W
944,0x4DDF, ,WN
945,0x4DDF, ,WN
946,0x4DDF, ,WN
947,0x4DDF, ,WN
948,0x4DDF, ,WN
949,0x4DDF, ,WN
950,0x4DDF, ,WN
959,0x6DE0, ,R
962,0x4DE0, ,W
965,0x4DE0, ,WN
966,0x4DE0, ,WN
967,0x4DE0, ,WN
968,0x4DE0, ,WN
969,0x4DE0, ,WN
970,0x4DE0, ,WN
971,0x4DE0, ,WN
980,0x6DE1, ,R
983,0x4DE1, ,W
986,0x4DE1, ,WN
987,0x4DE1, ,WN
988,0x4DE1, ,WN
989,0x4DE1, ,WN
990,0x4DE1, ,WN
991,0x4DE1, ,WN
992,0x4DE1, ,WN
1001,0x6DE2, ,R
1004,0x4DE2, ,W
1007,0x4DE2, ,WN
1008,0x4DE2, ,WN
1009,0x4DE2, ,WN
1010,0x4DE2, ,WN
1011,0x4DE2, ,WN
1012,0x4DE2, ,WN
1013,0x4DE2, ,WN
1022,0x6DE3, ,R
1025,0x4DE3, ,W
1028,0x4DE3, ,WN
1029,0x4DE3, ,WN
1030,0x4DE3, ,WN
1031,0x4DE3, ,WN
1032,0x4DE3, ,WN
1033,0x4DE3, ,WN
1034,0x4DE3, ,WN
1043,0x6DE4, ,R
1046,0x4DE4, ,W
1049,0x4DE4, ,WN
1050,0x4DE4, ,WN
1051,0x4DE4, ,WN
1052,0x4DE4, ,WN
1053,0x4DE4, ,WN
1054,0x4DE4, ,WN
1055,0x4DE4, ,WN
1064,0x6DE5, ,R
1067,0x4DE5, ,W
1070,0x4DE5, ,WN
1071,0x4DE5, ,WN
1072,0x4DE5, ,WN
1073,0x4DE5, ,WN
1074,0x4DE5, ,WN
1075,0x4DE5, ,WN
1076,0x4DE5, ,WN
1085,0x6DE6, ,R
1088,0x4DE6, ,W
1091,0x4DE6, ,WN
1092,0x4DE6, ,WN
1093,0x4DE6, ,WN
1094,0x4DE6, ,WN
1095,0x4DE6, ,WN
1096,0x4DE6, ,WN
1097,0x4DE6, ,WN
1106,0x6DE7, ,R
1109,0x4DE7, ,W
1112,0x4DE7, ,WN
1113,0x4DE7, ,WN
1114,0x4DE7, ,WN
1115,0x4DE7, ,WN
1116,0x4DE7, ,WN
1117,0x4DE7, ,WN
1118,0x4DE7, ,WN
1127,0x6DE8, ,R
1130,0x4DE8, ,W
1133,0x4DE8, ,WN
1134,0x4DE8, ,WN
1135,0x4DE8, ,WN
1136,0x4DE8, ,WN
1137,0x4DE8, ,WN
1138,0x4DE8, ,WN
1139,0x4DE8, ,WN
1148,0x6DE9, ,R
1151,0x4DE9, ,W
1154,0x4DE9, ,WN
1155,0x4DE9, ,WN
1156,0x4DE9, ,WN
1157,0x4DE9, ,WN
1158,0x4DE9, ,WN
1159,0x4DE9, ,WN
1160,0x4DE9, ,WN
1169,0x6DEA, ,R
1172,0x4DEA, ,W
1175,0x4DEA, ,WN
1176,0x4DEA, ,WN
1177,0x4DEA, ,WN
1178,0x4DEA, ,WN
1179,0x4DEA, ,WN
1180,0x4DEA, ,WN
1181,0x4DEA, ,WN
1190,0x6DEB, ,R
1193,0x4DEB, ,W
1196,0x4DEB, ,WN
1197,0x4DEB, ,WN
1198,0x4DEB, ,WN
1199,0x4DEB, ,WN
1200,0x4DEB, ,WN
1201,0x4DEB, ,WN
1202,0x4DEB, ,WN
1211,0x6DEC, ,R
1214,0x4DEC, ,W
1217,0x4DEC, ,WN
