TStates,Addr,WStates,OpType,IStates
676,0x4DD2, ,WN,1
677,0x4DD2, ,WN,1
678,0x87AB, ,RR,4
682,0x87AC, ,RR,4
692,0x4DD3, ,WN,1
693,0x4DD3, ,WN,1
694,0x4DD3, ,WN,1
695,0x4DD3, ,WN,1
696,0x4DD3, ,WN,1
697,0x4DD3, ,WN,1
698,0x4DD3, ,WN,1
699,0x87AB, ,RR,4
703,0x87AC, ,RR,4
713,0x4DD4, ,WN,1
714,0x4DD4, ,WN,1
715,0x4DD4, ,WN,1
716,0x4DD4, ,WN,1
717,0x4DD4, ,WN,1
718,0x4DD4, ,WN,1
719,0x4DD4, ,WN,1
720,0x87AB, ,RR,4
724,0x87AC, ,RR,4
734,0x4DD5, ,WN,1
735,0x4DD5, ,WN,1
736,0x4DD5, ,WN,1
737,0x4DD5, ,WN,1
738,0x4DD5, ,WN,1
739,0x4DD5, ,WN,1
740,0x4DD5, ,WN,1
741,0x87AB, ,RR,4
745,0x87AC, ,RR,4
755,0x4DD6, ,WN,1
756,0x4DD6, ,WN,1
757,0x4DD6, ,WN,1
758,0x4DD6, ,WN,1
759,0x4DD6, ,WN,1
760,0x4DD6, ,WN,1
761,0x4DD6, ,WN,1
762,0x87AB, ,RR,4
766,0x87AC, ,RR,4
776,0x4DD7, ,WN,1
777,0x4DD7, ,WN,1
778,0x4DD7, ,WN,1
779,0x4DD7, ,WN,1
780,0x4DD7, ,WN,1
781,0x4DD7, ,WN,1
782,0x4DD7, ,WN,1
783,0x87AB, ,RR,4
787,0x87AC, ,RR,4
797,0x4DD8, ,WN,1
798,0x4DD8, ,WN,1
799,0x4DD8, ,WN,1
800,0x4DD8, ,WN,1
801,0x4DD8, ,WN,1
802,0x4DD8, ,WN,1
803,0x4DD8, ,WN,1
804,0x87AB, ,RR,4
808,0x87AC, ,RR,4
818,0x4DD9, ,WN,1
819,0x4DD9, ,WN,1
820,0x4DD9, ,WN,1
821,0x4DD9, ,WN,1
822,0x4DD9, ,WN,1
823,0x4DD9, ,WN,1
824,0x4DD9, ,WN,1
825,0x87AB, ,RR,4
829,0x87AC, ,RR,4
839,0x4DDA, ,WN,1
840,0x4DDA, ,WN,1
841,0x4DDA, ,WN,1
842,0x4DDA, ,WN,1
843,0x4DDA, ,WN,1
844,0x4DDA, ,WN,1
845,0x4DDA, ,WN,1
846,0x87AB, ,RR,4
850,0x87AC, ,RR,4
860,0x4DDB, ,WN,1
861,0x4DDB, ,WN,1
862,0x4DDB, ,WN,1
863,0x4DDB, ,WN,1
864,0x4DDB, ,WN,1
865,0x4DDB, ,WN,1
866,0x4DDB, ,WN,1
867,0x87AB, ,RR,4
871,0x87AC, ,RR,4
881,0x4DDC, ,WN,1
882,0x4DDC, ,WN,1
883,0x4DDC, ,WN,1
884,0x4DDC, ,WN,1
885,0x4DDC, ,WN,1
886,0x4DDC, ,WN,1
887,0x4DDC, ,WN,1
888,0x87AB, ,RR,4
892,0x87AC, ,RR,4
902,0x4DDD, ,WN,1
903,0x4DDD, ,WN,1
904,0x4DDD, ,WN,1
905,0x4DDD, ,WN,1
906,0x4DDD, ,WN,1
907,0x4DDD, ,WN,1
908,0x4DDD, ,WN,1
